Accel,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.accel.com,"Professional ServicesEnterpriseInformation Technology,Risk ManagementFinTechInsurTech,Big Data & AnalyticsMarketing (MarTech)MobileSaaS,Artificial Intelligence & Machine Learning (AI/ML)B2BCRM,Sales AutomationSoftwareEdTechCommunity,Entertainment & MediaCloudTechCybersecurity,CollaborationConsumerBeautyE-CommerceEvents,SportsProductivity ToolsSupply Chain Tech,Developer ToolsMarketplaceHR TechLegal Tech,Creator EconomyHealthcarePoS (Point of Sale),Cryptocurrency / BlockchainEmerging Markets,Quality AssuranceConsumer GoodsRetailTechTravel,ConsultingPrivacyAudioTechPropTechApps,Consumer ElectronicsE-Sports (Gaming)PaaS (Platforms),TransportationHardwareManufacturingComputer,CMSAugmented & Virtual Reality (AR/VR),Advertising (AdTech)RoboticsLogistics,Health & WellnessFood and Beverage,Telecommunications (TMT)FashionHospitality,Medical DeviceInfrastructureSpaceTech"
Accel India,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.accel.com/,"PropTechArtificial Intelligence & Machine Learning (AI/ML),SoftwareFinTech"
"AccelFoods, LLC",Venture Fund,"Pre-SeedSeed,Series A",www.afventures.vc,SoftwareMobileSaaSConsumerFinTech
Accelmed,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.accelmed.com,"CybersecurityHealthcareInformation Technology,Medical Device"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
Access Venture Partners,Venture Fund,SeedSeries A,www.accessvp.com,"E-CommerceCryptocurrency / BlockchainPropTechSaaS,MarketplaceB2BB2C"
Access Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.accessventures.org,"Cryptocurrency / BlockchainMobileFinTechApps,InsurTechSoftwareDeveloper Tools,Information TechnologyBig Data & Analytics,ClimateTech & CleanTech"
Accomplice,Venture Fund,"Pre-SeedSeed,Series A",www.accomplice.co,"TravelComputerCybersecuritySaaS,Big Data & AnalyticsSoftwareConsumer,Market ResearchHR TechEventsEntertainment & Media,Artificial Intelligence & Machine Learning (AI/ML)Enterprise,Advertising (AdTech)E-CommerceMarketing (MarTech),RetailTechSportsCryptocurrency / BlockchainFinTech,AppsAudioTechCustomer Service,Information TechnologyEdTechDeveloper Tools,PropTechMeeting SoftwareHealthcareInsurTechB2B,Supply Chain TechLogisticsCloudTech,Food and BeverageMedical Device"
Acequia Capital (AceCap),Venture Fund,"SeedSeries A,Series B",http://acecap.com/,"CloudTechSoftwareBig Data & Analytics,Marketing (MarTech)Sales AutomationHardware,Artificial Intelligence & Machine Learning (AI/ML),Advanced MaterialsSaaSCybersecurityEnterprise,BioTechHealthcareHealth & Wellness,Information TechnologyDeveloper ToolsE-Commerce,RetailTechConsumer ElectronicsManufacturingFinTech,PropTechCRMFuture of WorkLogistics,TransportationEnergyClimateTech & CleanTech"
Acero Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acerovc.com,SoftwareMobileSaaSConsumerFinTech
ACME Capital,Venture Fund,"Pre-SeedSeed,Series A",www.acme.vc,"E-Sports (Gaming)Software,Artificial Intelligence & Machine Learning (AI/ML),Information TechnologySaaSConsumerRestaurantTech,Travel"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
Acre Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acre.vc,"B2BE-CommerceEnterpriseFood and Beverage,ClimateTech & CleanTechSaaSSoftware,Supply Chain TechHealthcareAgTech (FarmTech),BioTechMedical Device"
Acrew Capital,Venture Fund,SeedSeries A,www.acrewcapital.com,"Artificial Intelligence & Machine Learning (AI/ML)FinTech,Big Data & AnalyticsCybersecurityE-CommerceSaaS,Future of Work"
Acronym Venture Capital,Venture Fund,SeedSeries A,https://acronymvc.com/,"EnterpriseSaaSFinTechPropTechE-Commerce,ConsumerD2C"
Act One Ventures,Venture Fund,Seed,"http://www.actoneventures.com","CannabisComputerHardwareRetailTechSoftware,Information TechnologySaaSAdvertising (AdTech),Big Data & AnalyticsMarketing (MarTech)E-Commerce,FinTechAppsConstruction TechDeveloper Tools,EnterpriseArtificial Intelligence & Machine Learning (AI/ML)"
Act Venture Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.actventure.capital",HealthcareHealth & Wellness
Activant Capital,Venture Fund,Series BSeries C,www.activantcapital.com,"Artificial Intelligence & Machine Learning (AI/ML),E-CommerceFinTechHealthcareInfrastructure,IoT (Internet of Things)SaaSSupply Chain Tech,Telecommunications (TMT)"
Activate Capital Partners,Venture Fund,"Series BSeries C,Series D",www.activatecp.com,"EnergyOil & GasClimateTech & CleanTechPropTech,EnterpriseGovTechBig Data & Analytics,IoT (Internet of Things)SoftwareLogistics,Productivity ToolsSupply Chain Tech,Artificial Intelligence & Machine Learning (AI/ML)FinTech,ConsumerConsumer GoodsProfessional Services,Information TechnologyInsurTechApps"
Activate Venture Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.activatevp.com/,"Artificial Intelligence & Machine Learning (AI/ML)Healthcare,Health & WellnessBig Data & Analytics,Information Technology"
Investor Name,Fund Type,Fund Stage,Website (if available),Fund Focus (Sectors)
Active Capital,Venture Fund,Pre-SeedSeed,www.activecapital.com,"CloudTechArtificial Intelligence & Machine Learning (AI/ML),Cryptocurrency / BlockchainSaaS,Telecommunications (TMT)"
Active Impact Investments,Venture Fund,"SeedSeries A,Series B","https://www.activeimpactinvestments.com/",ClimateTech & CleanTechSoftware
Adage Capital Management,Family Office,"SeedSeries A,Series BSeries C,Series D","http://www.adagecapital.com","Artificial Intelligence & Machine Learning (AI/ML)Software,HealthcareHealth & WellnessMedical DeviceBioTech"
Adams Capital Management,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acm.com,SoftwareMobileSaaSConsumerFinTech
Adams Street Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D","https://www.adamsstreetpartners.com/","HealthcareMarketplaceHR TechBig Data & Analytics,Information TechnologyPropTechSoftware,CybersecurityMobilePaaS (Platforms)BioTech,EnterpriseSaaSMedical Device,Artificial Intelligence & Machine Learning (AI/ML)Consumer,CRMEntertainment & MediaAppsMarketing (MarTech)"
